derivative,rho
0,0.2
0.014973922148346898,0.2
0.0391006751358509,0.2
-0.05294738553464412,0.19
0.04574820943176747,0.2
0.0060470889625139496,0.2
-0.034141739180777224,0.19
-0.01159954524133354,0.1805
0.03295460929628461,0.19
-0.03712861240841448,0.1805
-0.00553911646828055,0.171475
0.02642264516092837,0.1805
0.03346528925001621,0.19
-0.052443381249904636,0.1805
-0.018503783605992793,0.171475
0.009239962622523308,0.1805
0.02692515747621655,0.19
0.04077966699376703,0.2
-0.02834051191806794,0.19
0.001573893763124945,0.2
-0.03600825894623995,0.19
0.1504885021224618,0.2
-0.10293611034750938,0.19
-0.011561175435781473,0.1805
-0.013609706647694106,0.171475
-0.03052159987390042,0.16290124999999997
0.01762044869363308,0.171475
0.003924415567889812,0.1805
0.03854260905645788,0.19
-0.02204005610197783,0.1805
0.013141686245799075,0.19
-0.01916358537971974,0.1805
0.03220204625278711,0.19
-0.0428548439592123,0.1805
0.015878408998250958,0.19
-0.00037308946251868313,0.1805
0.03677882350981235,0.19
-0.0023894351720809837,0.1805
-0.003168085329234599,0.171475
-0.052474839650094515,0.16290124999999997
0.0034867951273918132,0.171475
0.03212936595082284,0.1805
0.0064031725749373325,0.19
-0.006604291386902328,0.1805
0.012332722246646888,0.19
-0.053466891571879394,0.1805
0.04135702341794968,0.19
0.19271595716476442,0.2
0.009822525344789002,0.2
-0.19135141786187884,0.19
-0.025169625505805024,0.1805
-0.01574172519147396,0.171475
0.009089492298662669,0.1805
-0.009984300248324876,0.171475
-0.0174714969843626,0.16290124999999997
0.04380652219057083,0.171475
0.0008789888769388243,0.16290124999999997
-0.01193073946982623,0.15475618749999998
0.030877102278172974,0.16290124999999997
-0.07166334316134453,0.15475618749999998
0.012782285064458849,0.16290124999999997
0.010336833074688911,0.171475
0.01833623137325048,0.1805
0.004304587170481683,0.19
-0.036659327037632465,0.1805
0.005259170792996884,0.19
0.12781860705465078,0.2
-0.10297614261507988,0.19
-0.01582600198686123,0.1805
-0.01601326517760754,0.171475
0.004948798082768914,0.1805
0.010757319610565905,0.19
